#AI Update
# = { "x" "x" }
#Please use standard east-slavic or Russian orthography. G's over H's, as it was an ancestral trait
##ruthenia region in standard ukrainian slavic
#podlasie
277 = { "Bierashcie" "Bierashcie" }
5895 = { "Vaukavysk" "Vaukavysk" }
5897 = { "Kobrin" "Kobrin" }
5899 = { "Dorohychin" "Dorohychin" }
#red ruthenia
5876 = { "Grubeshiv" "Grubeshiv" }
5877 = { "Liubachiv" "Liubachiv" }
5878 = { "Yaroslav" "Yaroslav" }
5879 = { "Rashiv" "Rashiv" }
5880 = { "Sianik" "Sianik" }
#volhynnia
279 = { "Volodymyr" "Volodymyr" }
2962 = { "Rivne" "Rivne" }
5874 = { "Ratne" "Ratne" }
5934 = { "Kovel'" "Kovel'" } 
5935 = { "Chortoryisk" "Staryi Chortoryisk" }
5936 = { "Luts'k" "Luts'k" }
5937 = { "Ostrog" "Ostrog" }
5938 = { "Iziaslav" "Iziaslav" }
#polesia 
1942 = { "Zhytomyr" "Zhytomyr" }
4247 = { "Ovruch" "Ovruch" }
4545 = { "Slutsk" "Slutsk" }
5900 = { "Davydhorodok" "Davydhorodok" }
5905 = { "Astravets" "Astravets" }
5911 = { "Kapyl'" "Kapyl'" }
5923 = { "Pietrykav" "Pietrykav" } 
5957 = { "Korosten'" "Korosten'" }
6356 = { "Dubrovitsya" "Dubrovistya" }
#podolia
281 = { "Kam'yanets" "Kam'yanets" }
4540 = { "Vinnitsya" "Vinnytsya" }
5939 = { "Medzhybizh" "Medzhybizh" }
5940 = { "Khmil'nyk" "Khmil'nyk" }
5943 = { "Skala" "Skala" }
5944 = { "Shargorod" "Shargorod" }
5946 = { "Savran" "Savran" }
5947 = { "Karavul" "Karavul" }
#dnieper
280 = { "Kyïv" "Kyïv" }
2407 = { "Pereiaslav" "Pereiaslav" }
5950 = { "Chornobyl" "Chornobyl" }
5951 = { "Bila Tserkva" "Bila Tserkva" }
5952 = { "Oster" "Oster" }
5954 = { "Bragin" "Bragin" }
5956 = { "Berdychiv" "Berdychiv" }
#zaporizhia
283 = { "Khortitsya" "Khortitsya" }
4542 = { "Lubny" "Lubny" }
6197 = { "Mykytyn Rig" "Mykytyn Rig" }
6198 = { "Tomakivs'ka Sich" "Tomakivs'ka Sich" }
6200 = { "Kremenchuk" "Kremenchuk" }
6201 = { "Yelysavetgrad" "Yelysavetgrad" }
6202 = { "Novomyrgorod" "Zlatopol" }
#east dnieper
5948 = { "Myrgorod" "Myrgorod" }
6205 = { "Saltiv" "Saltiv" }
6206 = { "Glyns'k" "Glyns'k" }
6208 = { "Bogodukhiv" "Bogodukhiv" }
#severia
289 = { "Chernigiv" "Chernigiv" }
1945 = { "Novgorod-Sivers'kyi" "Novgorod-Sivers'kyi" }
4244 = { "Trubchevsk" "Trubchevsk" }
4543 = { "Rylsk" "Rylsk" }
5945 = { "Zvenygorodka" "Zvenygorodka" }
5953 = { "Romen" "Romen" } 
5958 = { "Starodub" "Starodub" }
5959 = { "Putyvl'" "Putyvl'" }
5960 = { "Pochep" "Pochep" }
6353 = { "Glukhiv" "Glukhiv" }
6354 = { "Sosnitsya" "Sosnitsya" }
#kursk
4543 = { "Ryl'sk" "Ryl'sk" }
#white ruthenia
292 = { "Mogilyëv" "Mogilyëv" }
4246 = { "Mstsislav" "Mstsislav" }
5926 = { "Roslavl'" "Roslavl'" }
5927 = { "Gomiel" "Gomiel" }
5928 = { "Rechytsa" "Rechytsa" }
5929 = { "Ragachev" "Ragachev" }
#minsk
276 = { "Miensk" "Miensk" }
4536 = { "Lida" "Lida" }
4537 = { "Navagrudak" "Navagrudak" }
4544 = { "Barisau" "Barisau" }
5909 = { "Lahoijsk" "Lahoijsk" }
5910 = { "Zaslaye" "Zaslauye" }
5933 = { "Svisloch" "Svisloch" }
#daugava valley
