#5466 - Zvolen/Zolyom
#Area - Lower Hungary
#Region - Carpathia

#Core Details
capital = "Zvolen" #Zolyom
is_city = yes
owner = HUN
controller = HUN

#Demographics
culture = slovak
religion = catholic

#Development and Trade
base_tax = 2
base_production = 2
base_manpower = 1
trade_goods = copper

#Cores and Occupation (Alphabetical after current)
add_core = HUN
add_core = SLO
add_core = UPH

#Other Political
hre = no
seat_in_parliament = yes

#Fort/Other Buildings
fort_15th = yes

#Special Modifiers

#Discoveries
discovered_by = eastern
discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS

#Histories
